Player,Age,Team,Pos,G,MP,PER,WS,WS/48,BPM,VORP,Salary_2526,salary_pct_cap
Isaac Okoro,25,CHI,SG,63,1695,9.8,2.2,0.061,-3.8,-0.8,11000000,7.112973417
Jerami Grant,31,POR,PF,57,1695,15.4,4,0.114,0,0.9,32000001,20.69228695
Dominick Barlow,22,PHI,PF,71,1689,13.2,3.9,0.112,-1.1,0.4,3415000,2.208254929
Michael Porter Jr.,27,BRK,SF,52,1689,19.9,2.9,0.083,3,2.1,38333050,24.78745142
Luke Kennard,29,2TM,SG,78,1681,13.5,4.5,0.13,0.1,0.9,11000000,7.112973417
Cameron Johnson,29,DEN,SF,54,1647,12.8,3.7,0.108,-0.6,0.6,21057065,13.61621305
Brook Lopez,37,LAC,C,75,1635,12.3,2.3,0.068,-0.9,0.5,8750000,5.658047036
Will Riley,19,WAS,SF,74,1633,12.1,0.4,0.012,-4.5,-1,3512520,2.271314671
Cody Williams,21,UTA,SG,67,1631,9.6,0.1,0.004,-5.5,-1.5,5742480,3.713282508
Bennedict Mathurin,23,2TM,SF,54,1620,14.7,2.1,0.062,-2.5,-0.2,9187573,5.940996592
Bobby Portis,30,MIL,PF,67,1619,17.1,2.8,0.083,0,0.8,13445754,8.694480979
Collin Sexton,27,2TM,SG,68,1614,17.4,3.9,0.117,0.6,1.1,18975000,12.26987914
Cedric Coward,22,MEM,SG,62,1598,15.3,2.5,0.076,-0.2,0.7,5715120,3.695590603
Peyton Watson,23,DEN,SF,54,1598,14.3,2.6,0.078,-1.2,0.3,4356476,2.817045271
Herbert Jones,27,NOP,SF,56,1588,9.1,0.7,0.022,-3.1,-0.5,13937574,9.012508487
Jalen Suggs,24,ORL,PG,57,1574,15.6,2.7,0.083,2.5,1.8,35000000,22.63218814
Kelly Oubre Jr.,30,PHI,SF,50,1574,13,2.7,0.083,-1.4,0.2,8382150,5.420182739
Jordan Goodwin,27,PHO,PG,70,1572,14.7,3.9,0.118,1.8,1.5,2349578,1.519316896
Jrue Holiday,35,POR,PG,53,1560,16.4,3.6,0.109,1.9,1.6,32400000,20.95093988
Dylan Harper,19,SAS,SG,69,1558,16.2,4.2,0.13,1.4,1.3,12370320,7.999068847
Ron Holland,20,DET,SF,78,1551,11.7,2.8,0.087,-2,0,8657280,5.598091137
Tari Eason,24,HOU,PF,60,1549,12.9,2.9,0.091,-1.6,0.2,5675766,3.670142971
Kevin Huerter,27,2TM,SF,69,1549,13.2,2.5,0.078,-0.6,0.6,17991071,11.63363725
Moses Moody,23,GSW,SG,60,1540,13.5,3.1,0.096,-0.1,0.7,11574075,7.4841898
Terance Mann,29,BRK,SG,63,1529,10.2,1.8,0.056,-3.4,-0.6,15500000,10.02282618
Jarrett Allen,27,CLE,C,56,1519,22.1,6.4,0.202,2.6,1.8,20000000,12.93267894
Isaiah Collier,21,UTA,PG,59,1517,14.8,1.7,0.053,-2.4,-0.2,2638200,1.705949679
Isaiah Joe,26,OKC,SG,71,1507,15.5,5.5,0.176,2.5,1.7,12362338,7.993907415
Jock Landale,30,2TM,C,68,1506,16.6,3.8,0.122,-0.1,0.7,2296274,1.48484872
Zaccharie Risacher,20,ATL,SF,67,1503,11.8,2.3,0.074,-2.5,-0.2,13197720,8.534093775
